timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,SMA 20,SMA 10,EMA 20,EMA 10,Real Lower Band 20,Real Upper Band 20,Real Middle Band 20,MACD 20,MACD_Signal 20,MACD_Hist 20,RSI 20
2020-01-06,293.79,299.96,292.75,299.8,74.0708853291,29644644,0.0,1.0,69.8422,71.9009,70.3047,72.099,64.7961,74.8883,69.8422,2.2714,1.9748,0.2967,77.0281
2020-01-07,299.84,300.9,297.48,298.39,73.7225199245,27877655,0.0,1.0,70.1841,72.3691,70.6302,72.3942,65.0601,75.3082,70.1841,2.2652,2.0329,0.2323,74.8117
2020-01-08,297.16,304.44,297.16,303.19,74.9084447063,33090946,0.0,1.0,70.6322,72.8432,71.0376,72.8513,65.5013,75.7631,70.6322,2.3291,2.0921,0.237,77.1661
2020-01-09,307.24,310.43,306.2,309.63,76.4995604552,42621542,0.0,1.0,71.1405,73.4698,71.5578,73.5146,65.8038,76.4773,71.1405,2.4795,2.1696,0.3099,79.8288
2020-01-10,310.6,312.67,308.25,310.33,76.6725078192,35217272,0.0,1.0,71.6292,73.9743,72.0449,74.0888,66.1477,77.1108,71.6292,2.5829,2.2522,0.3307,80.0944
2020-01-13,311.64,317.07,311.15,316.96,78.310566424,30028742,0.0,1.0,72.1913,74.6453,72.6416,74.8564,66.3989,77.9838,72.1913,2.7652,2.3548,0.4103,82.4043
2020-01-14,316.7,317.57,312.17,312.68,77.2531168269,40653457,0.0,1.0,72.6549,75.1681,73.0808,75.2922,66.8008,78.5091,72.6549,2.7921,2.4423,0.3498,76.3814
2020-01-15,311.85,315.5,309.55,311.34,76.9220461587,30480882,0.0,1.0,73.0438,75.6052,73.4467,75.5885,67.141,78.9466,73.0438,2.7549,2.5048,0.2501,74.5848
2020-01-16,313.59,315.7,312.09,315.24,77.8856100439,27207254,0.0,1.0,73.4741,75.9731,73.8694,76.0062,67.4776,79.4706,73.4741,2.7713,2.5581,0.2132,76.2931
2020-01-17,316.27,318.74,315.0,318.73,78.7478761873,34454117,0.0,1.0,73.9558,76.4993,74.334,76.5047,67.8901,80.0214,73.9558,2.8214,2.6108,0.2106,77.7048
2020-01-21,317.19,319.02,316.0,316.57,78.2142100355,27235039,0.0,1.0,74.4073,76.9136,74.7036,76.8155,68.487,80.3275,74.4073,2.7858,2.6458,0.1401,74.803
2020-01-22,318.58,319.99,317.31,317.7,78.4933964945,25458115,0.0,1.0,74.8799,77.3907,75.0645,77.1206,69.2466,80.5133,74.8799,2.7485,2.6663,0.0822,75.3107
